,title,price,year,link,brand,age,log_price,log_age,title,year_post,condition,cylinders,drivetrain,fuel,miles,color,transmission,bodytype,text
27,"2001 ford 250, 7.3 diesel, 4 x  4 ,with storage bin cap",10900,2001.0,https://charlottesville.craigslist.org/cto/d/pratts-2001-ford-diesel-x-with-storage/7786230476.html,ford,24.0,9.296518068217235,3.1780538303479458,title,2001,good,missing,4wd,diesel,108000,red,automatic,pickup,"2001 Ford 250, 4 wheel drive with 7.3 Diesel engine with 108,000 original miles. Truck runs very well. Has some dents see pictures, but very good running truck."
28,1989 chevrolet silverado 4x4,17500,1989.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1989-chevrolet/7786188892.html,chevrolet,36.0,9.769956159911606,3.58351893845611,title,1989,excellent, 8 cylinders,4wd,gas,112000,red,automatic,pickup,"HIGHLIGHTS: 5.7L 350 V8 Engine 4-Speed Automatic 700R4 Transmission4x4 DrivetrainOriginal Throttle Body Injection (TBI) SystemPower SteeringPower Front Disc BrakesSingle to Dual Exhaust16"" Alloy Wheels with 4x4 StampingTow HitchGray Cloth Bench SeatAir ConditioningCruise ControlOriginal Two-Piece Radio with Equalizer and Cassette PlayerPower Windows and Door LocksNew radiatorNew tiresDownsizing and need space. Great truck, everything works as it should. Super clean interior. North Carolina and Virginia truck."
29,affordable car works well,1950,,https://charlottesville.craigslist.org/cto/d/scottsville-affordable-car-works-well/7786056040.html,missing,,7.575584651557793,,title,2009,fair, 4 cylinders,fwd,gas,309000,grey,manual,hatchback,"For Sale: 2009 Toyota MatrixLooking for an affordable and reliable vehicle? Check out this 2009 Toyota Matrix. Despite its high mileage of 309,000, this car is still driven daily and runs smoothly without any known mechanical issues.Recent maintenance and updates include:- New brakes (front and rear) for assured stopping power.- Brand new OEM catalytic converter.- Fresh tune-up with new ignition coils and spark plugs.- New water pump installed to keep the engine cool and running efficiently.The exterior has a few minor dents that don't affect performance, but overall, it's in good condition for its age. If you're in need of a dependable ride that’s been well-maintained, this Matrix could be the perfect fit. Don’t miss out on this great deal!This message has been generated by Nova - download it for free:https://novaappai.page.link/8vxJEMNj62k7k1vH9    "
30,2010 jaguar xk,21900,2010.0,https://charlottesville.craigslist.org/cto/d/boston-2010-jaguar-xk/7785824836.html,missing,15.0,9.994241915804592,2.70805020110221,title,2010,like new, 8 cylinders,rwd,gas,48500,brown,automatic,coupe,"2010 Jaguar XK – An opportunity to own one of the great automobiles of our time – stunningly beautiful, fast, comfortable, reliable and an absolute joy to drive. This two owner, no accident, 48,500 mile Jaguar XK is available and can be yours.After a lengthy search the current owner purchased this beautiful Jaguar from a high-end dealer in Ft. Meyers FL. The flawless car had been traded-in by the original female owner on a new McLaren. Original Jaguar “winter gold” paint with desirable camel leather interior. Everything works, A/C blows cold, heated/cooled seats, heated steering wheel. In addition to normal maintenance, replacements have included: water pump, all of the plastic coolant connections, front brake rotors and pads. Never driven in inclement weather. Comes complete with two keys, owner’s manual, CD workshop manual, service records and battery maintainer. Virginia state inspection valid until June, 2025.Contact me for link to additional photographs or to arrange to see this stunning automobile. The only reason this car is being sold is the current owner purchased an Aston-Martin. You can find these cars cheaper, you will not find one nicer. Located about 2 hours SW of Washington DC.$21,900.    "
31,2015 honda odyssey ex,9950,2015.0,https://charlottesville.craigslist.org/cto/d/henrico-2015-honda-odyssey-ex/7785813701.html,honda,10.0,9.205327830152639,2.302585092994046,title,2015,excellent, 6 cylinders,fwd,gas,167000,missing,automatic,minivan,"Still available! Must call! 8O4-3I3-9338.167K miles, 3.5L V6. Automatic.Runs great, no known problem. Rear back up camera, and side camera. 3 zone climate control. Dual power sliding door. Push start button. All work as it should.  Small dent on the hood and grille (will be replaced). 5FNRL5H47FB081818"
32,2005 hyundai elantra,1200,2005.0,https://charlottesville.craigslist.org/cto/d/afton-2005-hyundai-elantra/7785683810.html,missing,20.0,7.090076835776092,2.995732273553991,title,2005,fair, 4 cylinders,fwd,gas,232450,silver,manual,sedan,‘05 Elantra runs good but did not pass inspection due to front breaks and wiper blades. Rear driver side door does not open and is majorly dented - see picture. I have receipts for recent work. it’s a fun car to drive just not much of a looker! Price negotiable but higher if I do repairs. Call or text    
33,2007 f250 king ranch,17500,2007.0,https://charlottesville.craigslist.org/cto/d/waynesboro-2007-f250-king-ranch/7785680751.html,missing,18.0,9.769956159911606,2.8903717578961645,title,2007,good, 8 cylinders,4wd,diesel,148086,missing,automatic,pickup,"6.0 diesel, bulletproofed, just replaced transmission, 6” lift on 37x12.50, it’s tuned with a basic street tune, got a new stereo with a 12” sub in the back seat and a 1000 watt amp. I also have paperwork for the work that’s been done"
34,"1998 gmc sierra 1500 sl truck auto rwd <103,000 miles",6400,1998.0,https://charlottesville.craigslist.org/cto/d/louisa-1998-gmc-sierra-1500-sl-truck/7785561584.html,gmc,27.0,8.764053269347762,3.295836866004329,title,1998,good, 8 cylinders,rwd,gas,102483,missing,automatic,truck,"1998 GMC Sierra 1500 SL Truck, Auto 2WD/RWD, Va State inspection good through 4/25, beige, automatic, 103,000 miles, strong V8, 6.5 foot bed, cloth interior in great shape, rear bench seat, dash cover, good tires, bed liner, 2"" box tow hitch, nice locking ARE color matching clamshell bed cover, large straight exhaust pipes, chrome bumpers in good shape"
35,2006 honda pilot exl fwd,4700,2006.0,https://charlottesville.craigslist.org/cto/d/henrico-2006-honda-pilot-exl-fwd/7785499961.html,honda,19.0,8.45531778769815,2.9444389791664403,title,2006,excellent, 6 cylinders,fwd,gas,251000,missing,automatic,SUV,"Still available. Must call! 8O4-22O-OO22251K miles. FWD. Runs great. No issue.The timing belt was changed at 225K. It has leather seats, heated seats, and power.Moonroof, Tires are in great condition. 3rd row seat, 8 passenger SUV.5FNYF28526B034237"
36,2015 gmc terrain - good condition,3500,2015.0,https://charlottesville.craigslist.org/cto/d/keswick-2015-gmc-terrain-good-condition/7785267240.html,gmc,10.0,8.160518247477505,2.302585092994046,title,2015,good, 4 cylinders,fwd,gas,113520,white,automatic,SUV,"2015 GMC Terrain SLE 4cy. 113,500 miles.  $3500.00 OBO.  This vehicle is in great condition.  Needs engine work.  Is drivable but runs rough.  We are the second owners.  Never been in an accident.  Sold as is.  Please call or text for more information."
